"","t_","Rotation","Polarization","state","seconds"
"1",4,0.0982475179416969,0.450725930940839,"Transition_state",0.133333333333333
"2",5,0.4428161207894,0.316755965696199,"Swarm_state",0.166666666666667
"3",6,-0.0188032590777212,0.279189268917951,"Transition_state",0.2
"4",7,0.641075654359518,0.270755184435334,"Swarm_state",0.233333333333333
"5",8,0.112478888810786,0.277942418218978,"Transition_state",0.266666666666667
"6",9,0.276271831662543,0.199445480784466,"Transition_state",0.3
"7",10,0.42611483265569,0.326170989149637,"Swarm_state",0.333333333333333
"8",11,0.0975272587395886,0.0551895962088932,"Transition_state",0.366666666666667
"9",12,0.141614107271131,0.205486225033201,"Transition_state",0.4
"10",13,0.016199432424573,0.354017813850609,"Transition_state",0.433333333333333
"11",14,-0.280598175217834,0.535827334104545,"Transition_state",0.466666666666667
"12",15,-0.0736395112030878,0.0618127127659445,"Transition_state",0.5
"13",16,0.0194240890297375,0.243995531186808,"Transition_state",0.533333333333333
"14",17,-0.25947317952595,0.0649695362898929,"Transition_state",0.566666666666667
"15",18,0.178570648992179,0.370992926627462,"Transition_state",0.6
"16",19,0.020403398713011,0.441018318818626,"Transition_state",0.633333333333333
"17",20,-0.0575072364032851,0.423900402172814,"Transition_state",0.666666666666667
"18",21,0.128342823587936,0.254609930710798,"Transition_state",0.7
"19",22,0.0443751205363253,0.236689452484612,"Transition_state",0.733333333333333
"20",23,-0.109617128055285,0.526619769930207,"Transition_state",0.766666666666667
"21",24,-0.0406897499403062,0.197738733907576,"Transition_state",0.8
"22",25,0.0299177855937664,0.423815171192139,"Transition_state",0.833333333333333
"23",26,0.109723889510719,0.268031678275478,"Transition_state",0.866666666666667
"24",27,-0.133633515413011,0.512176567767457,"Transition_state",0.9
"25",28,0.278489120276705,0.170187667775141,"Transition_state",0.933333333333333
"26",29,0.0895600511186513,0.218881814485606,"Transition_state",0.966666666666667
"27",30,0.065712145819259,0.190946055552349,"Transition_state",1
"28",31,0.143136994129181,0.462816583339957,"Transition_state",1.03333333333333
"29",32,0.167323956141018,0.499941524888281,"Transition_state",1.06666666666667
"30",33,0.144263842626276,0.232190101314106,"Transition_state",1.1
"31",34,0.193854724399091,0.327230740259766,"Transition_state",1.13333333333333
"32",35,0.0662969001710292,0.551851406549943,"Transition_state",1.16666666666667
"33",36,0.00414650024230103,0.252524123948749,"Transition_state",1.2
"34",37,0.231014009000261,0.576906776735256,"Transition_state",1.23333333333333
"35",38,-0.215384441107949,0.314872330073817,"Transition_state",1.26666666666667
"36",39,-0.0112599169721746,0.260116288596727,"Transition_state",1.3
"37",40,-0.0569876197890084,0.201462897606634,"Transition_state",1.33333333333333
"38",41,0.0370013686665383,0.122862456426635,"Transition_state",1.36666666666667
"39",42,-0.0328388172284317,0.197071939810744,"Transition_state",1.4
